,country,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
50,Ukraine,5.8765353250666665,22.244444444444444
51,Zambia,5.7619295707,8.766666666666667
52,Pakistan,5.7275127559,8.922222222222222
53,Lithuania,5.7089221352875,33.34444444444445
54,Cuba,5.343532585516667,13.988888888888889
55,Kyrgyzstan,5.223595224275,9.488888888888889
56,Burundi,5.1792031675166665,6.655555555555555
57,Kenya,5.0387546358375,5.777777777777778
58,United States of America,4.8775566297125,14.622222222222222
59,Niger,4.641806711,5.388888888888889
60,Angola,4.6014303459,6.4
61,Republic of Moldova,4.561157831825,15.844444444444443
62,Timor-Leste,4.0959830945,3.466666666666667
63,Thailand,3.885936084057143,8.18888888888889
64,Liberia,3.6359055848499997,4.688888888888889
65,Mozambique,3.5100775194,14.299999999999999
66,Albania,3.4747258893875,5.155555555555555
67,Lebanon,3.4617012428,2.8444444444444446
68,Latvia,3.4558293320124998,21.11111111111111
69,India,3.4514166401749997,13.022222222222222
70,Chile,3.3991647175625,9.88888888888889
71,Türkiye,3.389425204283333,2.2888888888888888
72,Estonia,3.3695484492125,17.577777777777776
73,Belarus,3.2931177359875,26.233333333333334
74,Sao Tome and Principe,3.2516624124,1.488888888888889
75,Guinea-Bissau,3.2514514660000002,7.577777777777778
76,Samoa,3.1461051219,12.633333333333333
77,Tunisia,3.0607561008,3.2333333333333334
78,Rwanda,3.046465755725,5.777777777777778
79,Egypt,2.87572521355,3.211111111111111
80,Montenegro,2.8322664298625,20.855555555555554
81,Sri Lanka,2.7635819345375,15.033333333333335
82,Bhutan,2.643623946885714,4.466666666666667
83,Iran (Islamic Republic of),2.5812707184,6.222222222222222
84,Bangladesh,2.5786984926875,3.5888888888888886
85,Armenia,2.370744133475,5.2444444444444445
86,Myanmar,2.3412450188,3.1555555555555554
87,Nepal,2.3029537764,8.722222222222221
88,Fiji,2.2828832891,9.522222222222222
89,Azerbaijan,2.2478657612285713,4.177777777777778
90,Mauritius,2.2439604499375,8.977777777777778
91,Cameroon,2.12011705135,9.711111111111112
92,Sierra Leone,2.087192036733333,6.366666666666666
93,Malawi,2.05230700685,6.222222222222222
94,Malaysia,2.016169403933333,4.955555555555556
95,Ghana,1.969941843742857,7.277777777777778
96,Georgia,1.9569945528733335,9.711111111111112
97,Cambodia,1.8430110785,5.088888888888889
98,Kuwait,1.8419308628,2.5777777777777775
99,Belgium,1.823103457242857,19.4
100,Hungary,1.799419426057143,20.311111111111114
101,Jordan,1.6837598479714286,1.5222222222222221
102,Canada,1.6446834400124999,12.177777777777777
103,Tajikistan,1.6368936072,4.144444444444444
104,Finland,1.579664108175,16.01111111111111
105,Israel,1.5449313197285715,5.288888888888889
106,Bulgaria,1.5419188410375,10.399999999999999
107,Malta,1.53978446367375,6.366666666666666
108,Viet Nam,1.5280509191,7.544444444444445
109,Tonga,1.452326758985,4.322222222222222
110,Uzbekistan,1.4157231217000001,8.777777777777779
111,Morocco,1.41209682005,7.7666666666666675
112,Bosnia and Herzegovina,1.4115575428875,10.622222222222222
113,Saudi Arabia,1.3769724963,6.277777777777778
114,Maldives,1.3425798289,2.788888888888889
115,Romania,1.3234016745875001,11.1
116,Serbia,1.31758163035,14.0
117,France,1.303534175625,15.744444444444444
118,North Macedonia,1.29930231460375,9.222222222222221
119,Algeria,1.253584850022,2.711111111111111
120,Slovakia,1.22915853878375,12.444444444444445
121,Greece,1.1351909437225,4.944444444444445
122,Benin,1.1274974068,8.122222222222222
123,Cyprus,1.12495665376,4.622222222222223
124,United Kingdom of Great Britain and Northern Ireland,1.0490673689949999,8.377777777777778
125,Denmark,1.017086037555,11.633333333333333
126,Australia,0.98546559095875,12.277777777777779
127,Croatia,0.9801977303975,16.788888888888888
128,Sweden,0.97736889348375,14.97777777777778
129,Portugal,0.95346696937,12.477777777777778
130,New Zealand,0.9453292848614285,11.844444444444443
131,Ireland,0.9325657007325,10.677777777777777
132,Germany,0.922857021465,13.0
133,Syrian Arab Republic,0.87931221497,1.7444444444444445
134,Poland,0.83493210106375,15.455555555555556
135,Oman,0.8244401164274999,5.1
136,Burkina Faso,0.8169848879642857,7.8999999999999995
137,Czechia,0.7833680967214286,14.399999999999999
138,Norway,0.77800271405875,12.122222222222222
139,Italy,0.75577517693875,7.1
140,Austria,0.750735116195,15.855555555555554
141,Republic of Korea,0.72017191319,29.166666666666668
142,Netherlands (Kingdom of the),0.71466521122875,11.466666666666667
143,Slovenia,0.7074893238825,20.433333333333334
144,China,0.6908786018099999,8.466666666666667
145,Spain,0.6852290434975,7.922222222222222
146,Iceland,0.64329725454875,12.988888888888889
147,United Arab Emirates,0.6318772841785715,6.788888888888889
148,Switzerland,0.5861160879625,14.644444444444446
149,Brunei Darussalam,0.5836884732866666,2.3555555555555556
150,Luxembourg,0.5370291084742858,11.255555555555555
151,Indonesia,0.5344328857042857,2.4444444444444446
152,Bahrain,0.43987863001000005,7.833333333333333
153,Qatar,0.3165944782175,6.444444444444445
154,Japan,0.29301213386375,19.12222222222222
155,Senegal,0.26751815179,6.333333333333333
156,Singapore,0.248958941115,9.899999999999999
