,country,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
103,Democratic Republic of the Congo,,6.722222222222222
104,Burundi,5.1792031675166665,6.655555555555555
105,Turkmenistan,,6.477777777777778
106,Qatar,0.3165944782175,6.444444444444445
107,El Salvador,64.54003990725,6.422222222222222
108,Angola,4.6014303459,6.4
109,Belize,36.01599405657143,6.377777777777777
110,Malta,1.53978446367375,6.366666666666666
111,Sierra Leone,2.087192036733333,6.366666666666666
112,Senegal,0.26751815179,6.333333333333333
113,Saudi Arabia,1.3769724963,6.277777777777778
114,Bolivia (Plurinational State of),8.98304859135,6.2444444444444445
115,Iran (Islamic Republic of),2.5812707184,6.222222222222222
116,Malawi,2.05230700685,6.222222222222222
117,Brazil,27.9300183525,6.022222222222222
118,Guatemala,30.257357096,5.933333333333334
119,Rwanda,3.046465755725,5.777777777777778
120,Kenya,5.0387546358375,5.777777777777778
121,Yemen,6.383589115733334,5.688888888888889
122,Ethiopia,8.7924785474,5.688888888888889
123,Lao People's Democratic Republic,,5.622222222222223
124,Dominican Republic,17.585016908857146,5.5888888888888895
125,Madagascar,,5.555555555555555
126,Paraguay,9.0791199950375,5.455555555555556
127,Mexico,21.67857604375,5.422222222222222
128,Niger,4.641806711,5.388888888888889
129,Libya,,5.366666666666666
130,Comoros,,5.355555555555556
131,Israel,1.5449313197285715,5.288888888888889
132,Armenia,2.370744133475,5.2444444444444445
133,Albania,3.4747258893875,5.155555555555555
134,Oman,0.8244401164274999,5.1
135,Cambodia,1.8430110785,5.088888888888889
136,Gambia,,5.088888888888889
137,Uganda,11.318663422142858,4.977777777777778
138,Malaysia,2.016169403933333,4.955555555555556
139,Greece,1.1351909437225,4.944444444444445
140,Liberia,3.6359055848499997,4.688888888888889
141,Nicaragua,9.617025750166666,4.622222222222223
142,Cyprus,1.12495665376,4.622222222222223
143,Bhutan,2.643623946885714,4.466666666666667
144,Tonga,1.452326758985,4.322222222222222
145,United Republic of Tanzania,7.829166323966667,4.311111111111111
146,Mali,,4.300000000000001
147,Azerbaijan,2.2478657612285713,4.177777777777778
148,Tajikistan,1.6368936072,4.144444444444444
149,Afghanistan,6.667952120216666,4.033333333333333
150,Colombia,29.446744584875,3.988888888888889
151,Iraq,9.033394992033335,3.9777777777777774
152,Sudan,,3.922222222222222
153,Nigeria,34.524045903,3.8444444444444446
154,South Sudan,13.9,3.677777777777778
155,Bangladesh,2.5786984926875,3.5888888888888886
156,Timor-Leste,4.0959830945,3.466666666666667
157,Bahamas,33.15169985928571,3.4555555555555557
158,Panama,13.1782773837625,3.344444444444444
159,Tunisia,3.0607561008,3.2333333333333334
160,Egypt,2.87572521355,3.211111111111111
161,Myanmar,2.3412450188,3.1555555555555554
162,Mauritania,,3.066666666666667
163,Peru,7.001777303357143,2.9000000000000004
164,Papua New Guinea,,2.8444444444444446
165,Lebanon,3.4617012428,2.8444444444444446
166,Maldives,1.3425798289,2.788888888888889
167,Algeria,1.253584850022,2.711111111111111
168,Honduras,62.198650599000004,2.6666666666666665
169,Kuwait,1.8419308628,2.5777777777777775
170,Venezuela (Bolivarian Republic of),52.14891812085715,2.488888888888889
171,Saint Vincent and the Grenadines,27.250170002666664,2.477777777777778
172,Indonesia,0.5344328857042857,2.4444444444444446
173,Brunei Darussalam,0.5836884732866666,2.3555555555555556
174,Philippines,8.9816874419,2.322222222222222
175,Türkiye,3.389425204283333,2.2888888888888888
176,Jamaica,43.042735368875,2.211111111111111
177,Syrian Arab Republic,0.87931221497,1.7444444444444445
178,Jordan,1.6837598479714286,1.5222222222222221
179,Sao Tome and Principe,3.2516624124,1.488888888888889
180,Grenada,7.991620144357142,0.9444444444444444
181,Barbados,9.16587804285,0.6
182,Antigua and Barbuda,11.061090402,0.25555555555555554
