,Unnamed: 0,country,Overall_GGGap_Ind_Index,Avg_MALE_TOTAL
107,107,Panama,0.7177777777777777,5.6755555555555555
108,108,Papua New Guinea,0.64,4.075555555555556
109,109,Paraguay,0.6766666666666666,7.657777777777778
110,110,Peru,0.6966666666666667,4.278888888888889
111,111,Philippines,0.7844444444444445,3.431111111111111
112,112,Poland,0.7177777777777777,27.721711111111112
113,113,Portugal,0.7244444444444444,19.54551111111111
114,114,Qatar,0.6322222222222222,7.86888888888889
115,115,Republic of Korea,0.6477777777777778,40.80997777777778
116,116,Republic of Moldova,0.73,27.849988888888888
117,117,Romania,0.6966666666666667,19.203733333333332
118,118,Russian Federation,0.6977777777777777,54.960966666666664
119,119,Rwanda,0.7983333333333333,8.323333333333332
120,120,Saudi Arabia,0.5888888888888889,9.355555555555556
121,121,Senegal,0.6811111111111111,9.481111111111112
122,122,Serbia,0.72,20.89471111111111
123,123,Sierra Leone,0.665,8.068888888888889
124,124,Singapore,0.7044444444444444,13.002088888888888
125,125,Slovakia,0.6877777777777778,21.954544444444444
126,126,Slovenia,0.7511111111111111,32.92221111111111
127,127,South Africa,0.7577777777777778,38.119733333333336
128,128,Spain,0.7477777777777779,11.918
129,129,Sri Lanka,0.69,24.178233333333335
130,130,Suriname,0.67,38.024722222222216
131,131,Sweden,0.8166666666666667,20.37251111111111
132,132,Switzerland,0.7711111111111112,20.269488888888887
133,133,Syrian Arab Republic,0.5722222222222222,2.798888888888889
134,134,Tajikistan,0.6622222222222223,5.44
135,135,Thailand,0.6977777777777777,13.493866666666667
136,136,Timor-Leste,0.6519999999999999,4.92
137,137,Togo,0.62,14.846055555555555
138,138,Trinidad and Tobago,0.7271428571428571,15.46962222222222
139,139,Tunisia,0.6385714285714286,4.483333333333333
140,140,Türkiye,0.6177777777777778,3.3544444444444443
141,141,Uganda,0.711111111111111,8.284022222222223
142,142,Ukraine,0.701111111111111,40.14741111111111
143,143,United Arab Emirates,0.6455555555555557,8.283333333333333
144,144,United Kingdom of Great Britain and Northern Ireland,0.7544444444444445,12.893144444444443
145,145,United Republic of Tanzania,0.7066666666666666,6.444444444444445
146,146,United States of America,0.7322222222222222,22.730855555555554
147,147,Uruguay,0.6955555555555555,30.6491
148,148,Vanuatu,0.64,28.776444444444444
149,149,Venezuela (Bolivarian Republic of),0.701111111111111,4.178888888888888
150,150,Viet Nam,0.6922222222222222,10.592177777777778
151,151,Yemen,0.50125,6.83
152,152,Zambia,0.6516666666666667,13.612822222222222
153,153,Zimbabwe,0.7071428571428572,22.776844444444446
